Edma;20;11
Edmee;20;11
Edmond;20;11
Edouard;5;1
Edouardine;5;1
Edwige;16;10
Eleazar;1;8
Eleonore;25;6
Elfi;8;12
Elfried;8;12
Eliane;4;7
Elia;4;7
Elie;20;7
Eliette;20;7
Eline;18;8
Elisabeth;17;11
Elise;17;11
Elisee;14;6
Ella;1;2
Ellenita;1;2
Elodie;22;10
Eloi;1;12
Elphege;12;3
Elsa;17;11
Elsy;17;11
Elvire;16;7
Emeline;27;10
Emeric;4;11
Emile;22;5
Emilie;19;9
Emilio;22;5
Emilien;12;11
Emilienne;5;1
Emma;19;4
Emmanuel;25;12
Emmanuelle;25;12
Enguerran;25;10
Enrique;13;7
Ephrem;9;6
Eric;18;5
Erich;18;5
Erika;18;5
Ernest;7;11
Ernestine;7;11
Erwan;19;5
Erwin;19;5
Esperance;1;8
Estelle;11;5
Esther;1;7
Etienne;26;12
Etienne Harding;17;4
Etoile;11;5
Eudes;19;8
Eugene;13;7
Eugenie;7;2
Eulalie;12;2
Eurielle;1;10
Eusebe;2;8
Eva;6;9
Evan;99;99
Evariste;26;10
Eve;6;9
Evelyne;6;9
Evrard;14;8
Fabien;20;1
Fabienne;20;1
Fabiola;27;12
Fabrice;22;8
Fanchon;9;3
Fanny;26;12
Faustin;15;2
Felicie;7;3
Felicien;9;6
Felicite;7;3
Felix;12;2
Ferdinand;30;5
Fernand;27;6
Fernande;27;6
Ferreol;16;6
Fiacre;30;8
Fidele;24;4
Fiona;99;99
Firmin;11;10
Flamine;2;5
Flavie;7;5
Flavien;18;2
Fleur;5;10
Flora;24;11
Flore;24;11
Florence;1;12
Florent;3;1
Florent;4;7
Florentin;24;10
Florian;4;5
Fortunat;24;4
France;4;10
Francelin;4;10
Franceline;4;10
Francette;4;10
Francine;4;10
Francis;4;10
Francisque;4;10
Franck;4;10
Francois;4;10
Francois(d'Assises);4;10
Francois(de Paul);2;4
Francois(de Sales);24;1
Francois-Xavier;3;12
Francoise;9;3
Francoise-Xaviere;22;12
Frankie;4;10
Franklin;4;10
Freddy;18;7
Frederic;18;7
Frederique;18;7
Frida;18;7
Fulbert;10;4
Gabin;19;2
Gabriel;19;9
Gabrielle;29;9
Gaby;29;9
Gael;17;12
Gaelle;17;12
Gaetan;7;8
Gaetane;7;8
Gall;16;10
Garry;99;99
Gaspard;28;12
Gaston;6;2
Gatien;18;12
Gaud;29;7
Gautier;9;4
Gelase;21;11
Genevieve;3;1
Genn;18;10
Geoffrey;8;11
Geoffroy;8;11
Georges;23;4
Georgette;23;4
Georgine;23;4
Gerald;5;12
Geraldine;5;12
Gerard;3;10
Geraud;13;10
Germain(d'A.);31;7
Germain(de P.);28;5
Germaine;15;6
Geronima;30;9
Gertrude;16;11
Gervais;19;6
Gervaise;19;6
Gery;11;8
Ghislain;10;10
Ghislaine;10;10
Gilbert;4;2
Gilberte;11;8
Gildas;29;1
Gilles;1;9
Ginette;3;1
Gina;21;6
Gino;21;6
Giraud;20;4
Gisane;99;99
Gisele;7;5
Godefroy;8;11
Gontran;28;3
Gonzague;21;6
Goulven;1;6
Grace;21;8
Gracieuse;21;8
Gregoire;3;9
Gregory;3;9
Guennole;3;3
Guewen;18;10
Guillaume;10;1
Guillem;10;1
Guillemette;10;1
Gustave;7;10
Guy;12;6
Gwenael;3;11
Gwenaelle;3;11
Gwendoline;14;10
Gwenola;3;3
Gwladys;29;3
Habib;27;3
Hadrien;8;9
Hans;24;6
Harold;1;11
Harry;13;7
Hedwige;16;10
Helena;18;8
Helene;18;8
Heliena;18;8
Helyette;20;7
Henri;13;7
Henriette;13;7
Herbert;20;3
Hermance;28;8
Hermann;25;9
Hermes;28;8
Hermine;9;7
Herve;17;6
Hilaire;13;1
Hilda;17;11
Hippolyte;13;8
Honorat;16;1
Honore;16;5
Honorine;27;2
Hortense;5;10
Hubert;3;11
Hugo;1;4
Hugues;1;4
Huguette;1;4
Hyacinthe;17;8
Iadine;3;2
Ida;13;4
Ignace(de L.);31;7
Igor;5;6
Ilse;99;99
Ilona;99;99
Imre;4;11
Ines;10;9
Ingrid;2;9
Innocent;28;12
Irene;5;4
Irenee;28;6
Iris;4;9
Irma;9;7
Irma(de S.);4;9
Isaac;20;12
Isabeau;99;99
Isabelle;22;2
Isaie;9;5
Isaline;99;99
Isidore;4;4
Ivan;24;6
Ivana;99;99
J.-B. de la S;7;4
Jacinthe;30;1
Jackie;8;2
Jacob;20;12
Jacqueline;8;2
Jacques;25;7
Jacques de la Marche;28;11
Jacques(Min.);3;5
Jacquette;8;2
Jacquine;25;7
Jacquotte;8;2
James;25;7
Jane;30;5
Jaouen;2;3
Jasmine;5;10
Jason;99;99
Jarod;99;99
Jean;27;12
Jean(de Capistran);23;10
Jean-Baptiste;24;6
Jean de Dieu;8;3
Jeanne;8;5
Jeanne;30;5
Jeanne(de C.);12;12
Jeannette;30;5
Jeannine;8;5
Jenny;8;5
Jeremie;1;5
JerOme;30;9
Jessica;4;11
Jessy;4;11
Jim;25;7
Joachim;26;7
Jocelyne;13;12
Joel;13;7
Joelle;13;7
Joevin;2;3
Johanne;30;5
John;24;7
Johnatan;99;99
Johnny;24;7
Jordanne;13;2
Joris;26;7
Jose;19;3
Joseph;19;3
Josephine;19;3
Josette;19;3
Josiane;19;3
Josselin;13;12
Josseline;13;12
Josue;1;9
Juanita;8;5
Jude;28;10
Judicael;17;12
Judith;5;5
Jules;12;4
Julianne;99;99
Julie;8;4
Julien;2;8
Julienne;16;2
Juliette;30;7
Juste;14;10
Justin;1;6
Justine;12;3
Juvenal;3;5
Karelle;7;11
Karen;7;11
Karina;7;11
Karine;7;11
Kassandra;99;99
Katel;24;3
Katia;25;11
Katy;24;3
Ketty;24;3
Kevin;3;6
Killian;8;7
Kurt;26;11
L'Annonciation;25;3
Laetitia;18;8
Lambert;17;9
Landry;10;6
Lara;26;3
Larissa;26;3
Laura;10;8
Lauranne;10;8
Laure;10;8
Laurence;10;8
Laurent;10;8
Laurentine;10;8
Laurette;10;8
Lauriane;13;2
Laurie;10;8
Lazare;23;2
Lea;22;3
Leger;2;10
Lelia;22;3
Lena;18;8
Lenaic;18;8
Leo;6;11
Leon;10;11
Leonard;6;11
Leone;10;11
Leonce;18;6
Leonie;10;11
Leonilde;10;11
Leonore;99;99
Leontine;10;11
Leopold;15;11
Leslie;17;11
Lexane;99;99
Lia;22;3
Lidwine;14;4
Lila;22;3
Lilian;4;7
Liliane;4;7
Lily;17;11
Linda;28;8
Line;20;10
Lionel;10;11
Lisa;17;11
Lisbeth;17;11
Lise;17;11
Lisette;17;11
Lizzie;17;11
Logan;99;99
Loic;25;8
Lois;21;6
Lola;15;9
Lolita;15;9
Lolve;99;99
Loraine;30;5
Lore;25;6
Loreline;99;99
Louis;25;8
Louis(de G.);21;6
Louis-Marie;28;4
Louise;15;3
Loup;29;7
Luana;99;99
Luc;18;10
Lucas;18;10
Luce;13;12
Lucette;13;12
Lucie;13;12
Lucien;8;1
Lucienne;8;1
Lucille;16;2
Lucrece;15;3
Ludmilla;16;9
Ludovic;25;8
Ludwig;25;8
Lydia;3;8
Lydie;3;8
Lydiane;3;8
Lynda;20;10
Macrine;6;7
Maddy;22;7
Madeleine;22;7
Mael;24;5
Maelle;24;5
Maeva;99;99
Magali;22;7
Magalie;22;7
Magaly;22;7
Maggy;22;7
Magloire;24;10
Maite;7;6
Malo;15;11
Manoel;25;12
Manon;15;8
Manuel;26;12
Marc;25;4
Marceau;16;1
Marcel;16;1
Marcelle;31;1
Marcellin;6;4
Marcelline;17;7
Marcien;25;8
Margaux;16;11
Margot;16;11
Marguerite-M;16;11
Marguerite;20;7
Maria;15;8
Mariam;15;8
Marianne;9;7
Marie;1;1
Marie;15;8
Marie-Eve;99;99
Marie-France;99;99
Marie-Josee;99;99
Marie-Madeleine;22;7
Marie-Line;18;9
Marielle;15;8
Marien;30;4
Mariette;6;7
Marika;99;99
Marilyne;15;8
Marin;4;9
Marina;20;7
Marine;20;7
Marinette;20;7
Mario;99;99
Marion;15;8
Marissa;99;99
Marius;19;1
Marjolaine;15;8
Marjorie;20;7
Marlene;15;8
Marthe;29;7
Martial;30;6
Martin;11;11
Martine;30;1
Martinien;2;7
Mary;15;8
Maryline;15;8
Maryan;99;99
Maryse;15;8
Maryvonne;15;8
Mateo;21;9
Materne;14;9
Mathias;14;5
Mathilde;14;3
Mathurin;1;11
Matthieu;21;9
Maud;14;3
Maude;14;3
Maurice;22;9
Mauricette;22;9
Maxence;14;4
Maxime;14;4
Maximilien;12;3
Maximilien Kolb;14;8
Maximin;29;5
Mayeul;11;5
Maylis;99;99
Medard;8;6
Megan;99;99
Melaine;6;1
Melaine;26;1
Melanie;26;1
Melissa;99;99
Melodie;99;99
